Training Log - Start time: 2025-10-12 13:14:47
Epoch 37/10000 - Train: loss: 0.15155952, RRMSE: 0.38800415, MAE: 0.37491670 - Val: loss: 0.18991706, RRMSE: 0.44322738, MAE: 0.43351144
Epoch 38/10000 - Train: loss: 0.14390092, RRMSE: 0.37807688, MAE: 0.36490437 - Val: loss: 0.18163157, RRMSE: 0.43345127, MAE: 0.41322282
Epoch 39/10000 - Train: loss: 0.14169526, RRMSE: 0.37515724, MAE: 0.36146012 - Val: loss: 0.18938300, RRMSE: 0.44260374, MAE: 0.42660448
Epoch 40/10000 - Train: loss: 0.14246508, RRMSE: 0.37611502, MAE: 0.36565757 - Val: loss: 0.17579074, RRMSE: 0.42642495, MAE: 0.41341600
Epoch 41/10000 - Train: loss: 0.14234076, RRMSE: 0.37601307, MAE: 0.36477035 - Val: loss: 0.17464709, RRMSE: 0.42503560, MAE: 0.41689682
Epoch 42/10000 - Train: loss: 0.14910984, RRMSE: 0.38491663, MAE: 0.37563923 - Val: loss: 0.18803169, RRMSE: 0.44102186, MAE: 0.42606658
Epoch 43/10000 - Train: loss: 0.15434819, RRMSE: 0.39123365, MAE: 0.38005558 - Val: loss: 0.20584227, RRMSE: 0.46143642, MAE: 0.46437109
Epoch 44/10000 - Train: loss: 0.17054939, RRMSE: 0.41189873, MAE: 0.40058240 - Val: loss: 0.20920555, RRMSE: 0.46519092, MAE: 0.46058419
Epoch 45/10000 - Train: loss: 0.16159053, RRMSE: 0.40062997, MAE: 0.39101565 - Val: loss: 0.19344157, RRMSE: 0.44732124, MAE: 0.43921989
Epoch 46/10000 - Train: loss: 0.15137663, RRMSE: 0.38774064, MAE: 0.37594929 - Val: loss: 0.17748216, RRMSE: 0.42847154, MAE: 0.42807436
Epoch 47/10000 - Train: loss: 0.15205391, RRMSE: 0.38841426, MAE: 0.38156575 - Val: loss: 0.18808267, RRMSE: 0.44108167, MAE: 0.43149057
Epoch 48/10000 - Train: loss: 0.15288518, RRMSE: 0.38972819, MAE: 0.38401705 - Val: loss: 0.19480118, RRMSE: 0.44889045, MAE: 0.44268546
Epoch 49/10000 - Train: loss: 0.14864546, RRMSE: 0.38426217, MAE: 0.38096389 - Val: loss: 0.18458267, RRMSE: 0.43695837, MAE: 0.42840871
Epoch 50/10000 - Train: loss: 0.14510678, RRMSE: 0.37941369, MAE: 0.37442619 - Val: loss: 0.19009364, RRMSE: 0.44343340, MAE: 0.45052674
Epoch 51/10000 - Train: loss: 0.15567471, RRMSE: 0.39284420, MAE: 0.38647678 - Val: loss: 0.20719811, RRMSE: 0.46295363, MAE: 0.44314158
Epoch 52/10000 - Train: loss: 0.15255959, RRMSE: 0.38931707, MAE: 0.37840864 - Val: loss: 0.16546671, RRMSE: 0.41371372, MAE: 0.37695959
Epoch 53/10000 - Train: loss: 0.13549376, RRMSE: 0.36701277, MAE: 0.35052007 - Val: loss: 0.16819505, RRMSE: 0.41711056, MAE: 0.38814488
Epoch 54/10000 - Train: loss: 0.13441144, RRMSE: 0.36547586, MAE: 0.34552166 - Val: loss: 0.17286856, RRMSE: 0.42286584, MAE: 0.39808357
Epoch 55/10000 - Train: loss: 0.14842182, RRMSE: 0.38423815, MAE: 0.37827116 - Val: loss: 0.17738707, RRMSE: 0.42835674, MAE: 0.40593553
Epoch 56/10000 - Train: loss: 0.14940144, RRMSE: 0.38504785, MAE: 0.38762552 - Val: loss: 0.17594366, RRMSE: 0.42661038, MAE: 0.41199625
Epoch 57/10000 - Train: loss: 0.13959581, RRMSE: 0.37196946, MAE: 0.36328161 - Val: loss: 0.17733459, RRMSE: 0.42829332, MAE: 0.42067957
Epoch 58/10000 - Train: loss: 0.14434397, RRMSE: 0.37868387, MAE: 0.37018546 - Val: loss: 0.19833577, RRMSE: 0.45294467, MAE: 0.41859347
Epoch 59/10000 - Train: loss: 0.15959796, RRMSE: 0.39787349, MAE: 0.38609955 - Val: loss: 0.19018592, RRMSE: 0.44354099, MAE: 0.43886045
Epoch 60/10000 - Train: loss: 0.16191262, RRMSE: 0.40081775, MAE: 0.40272704 - Val: loss: 0.17822278, RRMSE: 0.42936459, MAE: 0.39975706
Epoch 61/10000 - Train: loss: 0.14679359, RRMSE: 0.38215366, MAE: 0.37074757 - Val: loss: 0.17191385, RRMSE: 0.42169651, MAE: 0.40446916
Epoch 62/10000 - Train: loss: 0.13964552, RRMSE: 0.37250328, MAE: 0.36066121 - Val: loss: 0.17290156, RRMSE: 0.42290619, MAE: 0.38908449
Epoch 63/10000 - Train: loss: 0.13583688, RRMSE: 0.36738092, MAE: 0.34926036 - Val: loss: 0.16893864, RRMSE: 0.41803160, MAE: 0.38489559
Epoch 64/10000 - Train: loss: 0.13227347, RRMSE: 0.36253932, MAE: 0.34716249 - Val: loss: 0.15758079, RRMSE: 0.40373486, MAE: 0.38049677
Epoch 65/10000 - Train: loss: 0.12856610, RRMSE: 0.35705656, MAE: 0.33912104 - Val: loss: 0.15662235, RRMSE: 0.40250516, MAE: 0.38450834
Epoch 66/10000 - Train: loss: 0.14587556, RRMSE: 0.38081285, MAE: 0.37027264 - Val: loss: 0.18037787, RRMSE: 0.43195274, MAE: 0.42529941
Epoch 67/10000 - Train: loss: 0.15277934, RRMSE: 0.38891625, MAE: 0.38184467 - Val: loss: 0.15869333, RRMSE: 0.40515757, MAE: 0.38543719
Epoch 68/10000 - Train: loss: 0.13953680, RRMSE: 0.37279430, MAE: 0.36013016 - Val: loss: 0.15966751, RRMSE: 0.40639922, MAE: 0.38826990
Epoch 69/10000 - Train: loss: 0.13625178, RRMSE: 0.36817056, MAE: 0.35416248 - Val: loss: 0.14288732, RRMSE: 0.38445139, MAE: 0.34578198
Epoch 70/10000 - Train: loss: 0.12876575, RRMSE: 0.35801953, MAE: 0.33505619 - Val: loss: 0.15170006, RRMSE: 0.39612976, MAE: 0.37097055
Epoch 71/10000 - Train: loss: 0.13077737, RRMSE: 0.36056736, MAE: 0.34084490 - Val: loss: 0.15991551, RRMSE: 0.40671471, MAE: 0.38390985
Epoch 72/10000 - Train: loss: 0.14611658, RRMSE: 0.38088283, MAE: 0.37022331 - Val: loss: 0.17640932, RRMSE: 0.42717454, MAE: 0.39271662
Epoch 73/10000 - Train: loss: 0.13774043, RRMSE: 0.36978543, MAE: 0.35778540 - Val: loss: 0.17540695, RRMSE: 0.42595920, MAE: 0.41650641
Epoch 74/10000 - Train: loss: 0.13638198, RRMSE: 0.36749592, MAE: 0.35901511 - Val: loss: 0.15532590, RRMSE: 0.40083584, MAE: 0.38330361
